"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","For all of us who love this country and are willing to do our part to make sure it lives up to its highest ideals –… https://t.co/RcUlk1FwLg",FALSE,48118,"BarackObama",2020-04-14 16:02:07,TRUE,"1250088269502709762","1250091976487317507","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",10213,FALSE,FALSE,NA,NA
"2","I’m proud to endorse my friend @JoeBiden for President of the United States. Let's go: https://t.co/maHVGRozkX",FALSE,251867,NA,2020-04-14 15:47:23,FALSE,NA,"1250088269502709762",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","BarackObama",85883,FALSE,FALSE,NA,NA
"3","Dreamers have contributed so much to our country, and they are risking their lives fighting on the frontlines of th… https://t.co/TpcCIY3UzF",FALSE,97988,NA,2020-04-13 18:01:58,TRUE,NA,"1249759749102546946",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",20400,FALSE,FALSE,NA,NA
"4","We can't deny that racial and socioeconomic factors are playing a role in who is being hit the hardest by the virus… https://t.co/VgAEVwVBPi",FALSE,168093,NA,2020-04-13 15:33:36,TRUE,NA,"1249722411781668865",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",35596,FALSE,FALSE,NA,NA
"5","Although our celebrations may look different this year, our unwavering faith remains the same. For me, Easter is a… https://t.co/yqWFo9qYMH",FALSE,509807,NA,2020-04-12 14:41:33,TRUE,NA,"1249346924102275072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",55246,FALSE,FALSE,NA,NA
"6","Let’s not use the tragedy of a pandemic to compromise our democracy. Check the facts of vote by mail. https://t.co/aTNxRV4Ws3",FALSE,54336,"BarackObama",2020-04-10 21:08:07,FALSE,"1248719429904429056","1248719432563732482","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",12861,FALSE,FALSE,NA,NA
"7","Everyone should have the right to vote safely, and we have the power to make that happen. This shouldn't be a parti… https://t.co/b7HmHriD3G",FALSE,56159,"BarackObama",2020-04-10 21:08:06,TRUE,"1248719426352005120","1248719429904429056","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",9623,FALSE,FALSE,NA,NA
"8","No one should be forced to choose between their right to vote and their right to stay healthy like the debacle in W… https://t.co/9LcdVOU9uV",FALSE,188749,NA,2020-04-10 21:08:05,TRUE,NA,"1248719426352005120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",37123,FALSE,FALSE,NA,NA
"9","Some good news: states that started social distancing early and aggressively, like California, have avoided overwhe… https://t.co/lYzRvmo55X",FALSE,201374,NA,2020-04-10 13:50:02,TRUE,NA,"1248609184767078405",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",42206,FALSE,FALSE,NA,NA
"10","Mayors have been working hard to help us get through this pandemic, and they’ll have just as big a task to help peo… https://t.co/rHYzDM5k1x",FALSE,140202,NA,2020-04-09 21:00:27,TRUE,NA,"1248355116773769216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",27461,FALSE,FALSE,NA,NA
"11","Through centuries of persecution, exile and struggle, the story of Passover has reminded the Jewish people––and all… https://t.co/Ks8gXDHjzR",FALSE,255104,NA,2020-04-08 21:18:19,TRUE,NA,"1247997223360704512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",28983,FALSE,FALSE,NA,NA
"12","Social distancing bends the curve and relieves some pressure on our heroic medical professionals. But in order to s… https://t.co/DVSDGdzaUn",FALSE,201593,NA,2020-04-08 14:15:54,TRUE,NA,"1247890918440448003",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",45028,FALSE,FALSE,NA,NA
"13","My advisor and friend @cecmunoz has been someone I’ve turned to for years. In her new book, More Than Ready, she sh… https://t.co/HZd6fZRVEy",FALSE,84400,NA,2020-04-07 18:40:15,TRUE,NA,"1247595056875425794",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",9701,FALSE,FALSE,NA,NA
"14","It’s World Health Day, and we owe a profound debt of gratitude to all our medical professionals. They’re still givi… https://t.co/uhfPzagqi7",FALSE,598370,NA,2020-04-07 16:02:23,TRUE,NA,"1247555328365023238",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",108082,FALSE,FALSE,NA,NA
"15","Bill Withers was a true American master. His music, rooted in the everyday joys and sorrows of working people, was… https://t.co/r2wuS8ugt7",FALSE,82799,NA,2020-04-06 22:54:01,TRUE,NA,"1247296532623261697",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",9681,FALSE,FALSE,NA,NA
"16","As she often does, @SenWarren provides a cogent summary of how federal policymakers should be thinking about the pa… https://t.co/4I2dLnp1nW",FALSE,185470,NA,2020-04-06 18:45:29,TRUE,NA,"1247233987304660993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",42844,FALSE,FALSE,NA,NA
